Date,Open,High,Low,Close,Volume
2000/1/4,289.5,289.5,280,283.7,21621
2000/1/5,283.7,285,281,282.1,25448
2000/1/6,281.6,282.8,280.2,282.4,19055
2000/1/7,282.5,284.5,282,282.9,11266
2000/1/10,282.4,283.9,281.8,282.7,30603
2000/1/11,282.4,285.3,281.9,284.4,13500
2000/1/12,284.5,285,282.5,283.7,17841
2000/1/13,283.5,285.9,282.9,285.1,12171
2000/1/14,285.2,285.6,284,284.9,32339
2000/1/18,286.1,289.8,285.9,289.6,28615
2000/1/19,289.6,291,287.5,290.3,24097
2000/1/20,290.3,290.7,288.4,289.3,20707
2000/1/21,289,290.3,287.4,289.7,25726
2000/1/24,289.7,289.7,286.3,288.1,32140
2000/1/25,288,291.8,286.6,286.6,36122
2000/1/26,286.8,287.5,284.7,286.5,19633
2000/1/27,286.2,287.5,285.6,287.1,14493
2000/1/28,289.6,290.7,283,286,15193
2000/1/31,286,287.4,284.9,286.2,13450
2000/2/1,286,286.5,285,285.4,18559
2000/2/2,285.4,289.2,285.3,287.7,21679
2000/2/3,287.7,290.9,287,289.9,111565
2000/2/4,290.2,318.5,289.9,313,81002
2000/2/7,318,326.9,302,304.5,41222
2000/2/8,306,308,298.5,301.7,43956
2000/2/9,301.7,314,301.7,308.6,68353
2000/2/10,308.5,319,308.5,318.7,33896
2000/2/11,318.3,320.4,311,313.6,26794
2000/2/14,313.6,313.6,308.3,311,29195
2000/2/15,310.7,311.5,303.8,304.1,26789
2000/2/16,304.2,306,299.7,305,56335
2000/2/17,305.3,312.5,300,303.8,11809
2000/2/18,303.3,307.8,302,307.3,19378
2000/2/22,307.6,309.4,304.2,307.7,25886
2000/2/23,307.7,308.2,302.3,302.4,28337
2000/2/24,302.4,303.5,300.2,300.9,50881
2000/2/25,300.9,301.2,293.5,294.6,12399
2000/2/28,294.5,295.4,293.1,294.2,19656
2000/2/29,293.8,296.5,293.5,294.2,14909
2000/3/1,294.2,296.2,292.8,293.3,28152
2000/3/2,292.9,293.3,289.4,289.7,14362
2000/3/3,289.7,292.2,289.2,290.3,11764
2000/3/6,290.6,291.7,289.2,289.4,29350
2000/3/7,289.5,295.4,289.4,293.7,23098
2000/3/8,293.8,295,289.8,290.4,20155
2000/3/9,290,293,289.6,292.7,33677
2000/3/10,292.7,294,289.4,290,15867
2000/3/13,290,292.9,290,291.5,14104
2000/3/14,291.7,292.6,289.2,289.7,10300
2000/3/15,289.6,291,289.3,289.6,39830
2000/3/16,289.9,290.4,286.3,287,22018
2000/3/17,286.8,287,283.6,285,17900
2000/3/20,285,286.9,284.5,286.5,42694
2000/3/21,286.5,292,284.2,290.4,13804
2000/3/22,290.4,291.1,288.1,288.3,36661
2000/3/23,288.4,288.6,283.8,285.4,12053
2000/3/24,285.6,286.1,284.6,285.1,51450
2000/3/27,285.4,285.4,280.2,280.5,22148
2000/3/28,280.8,281.8,279.4,279.5,17775
2000/3/29,279.5,280.2,274.8,275.9,12107
2000/3/30,279,280.2,277.9,279.1,29784
2000/3/31,279.6,283,277.5,281.4,31833
2000/4/3,281.5,282,279.7,280.4,12345
2000/4/4,280.7,291.5,278.4,286.6,44068
2000/4/5,286.7,287.1,283.2,283.8,21139
2000/4/6,283.8,284.3,281.3,282.7,13216
2000/4/7,283,283.6,281.9,282.5,7865
2000/4/10,281.8,285,281.5,284,6784
